id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
1,1,1,"Gagarin, Yuri",ГАГАРИН Юрий Алексеевич,male,1934,Russia,military,TsPK-1,1960,1,1,pilot,1961,Vostok 1,Vostok 1,Vostok 2,Vostok 3,1.77,1.77,0,0.0,0.0,"Gagarin, Yuri",91,1930,1960,26,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2,2,2,"Titov, Gherman",ТИТОВ Герман Степанович,male,1935,Russia,military,TsPK-1,1960,1,1,pilot,1961,Vostok 2,Vostok 2,Vostok 2,Vostok 2,25.0,25.3,0,0.0,0.0,"Titov, Gherman",90,1930,1960,25,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
3,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,1921,USA,military,NASA Astronaut Group 1,1959,1,2,pilot,1962,MA-6,MA-6,MA-6,MA-6,5.0,218.0,0,0.0,0.0,"Glenn, John H., Jr.",104,1920,1950,38,1,0,1,1,Couple,0,No_EVA,Medium,USA,1,0,0,0,0,38.0,1.0,5.0,109.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
4,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,1921,USA,military,NASA Astronaut Group 2,1959,2,2,psp,1998,STS-95,STS-95,STS-95,STS-95,213.0,218.0,0,0.0,0.0,"Glenn, John H., Jr.",104,1920,1950,38,1,0,1,1,Couple,0,No_EVA,Medium,USA,1,0,0,0,0,38.0,1.0,6.0,120.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
5,4,2,"Carpenter, M. Scott","Carpenter, M. Scott",male,1925,USA,military,NASA- 1,1959,1,1,pilot,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5.0,5.0,0,0.0,0.0,"Carpenter, M. Scott",100,1920,1950,34,1,0,1,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,1.0,5.0,128.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
6,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,1929,Russia,military,TsPK-1,1960,1,2,pilot,1962,Vostok 3,Vostok 3,Vostok 3,Vostok 3,94.0,519.33,0,0.0,0.0,"Nikolayev, Andriyan",96,1920,1960,31,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
7,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,1929,Russia,military,TsPK-2,1960,2,2,pilot,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9,424.0,519.33,0,0.0,0.0,"Nikolayev, Andriyan",96,1920,1960,31,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,5.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
8,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,1930,Russia,military,TsPK-1,1960,1,2,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,448.45,0,0.0,0.0,"Popovich, Pavel",95,1930,1960,30,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
9,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,1930,Russia,military,TsPK-2,1960,2,2,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377.0,448.45,0,0.0,0.0,"Popovich, Pavel",95,1930,1960,30,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
10,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,USA,military,1959 NASA group 1,1959,1,3,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,295.2,0,0.0,0.0,"Schirra, Walter M., Jr.",102,1920,1950,36,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,1.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
11,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,USA,military,1960 NASA group 1,1959,2,3,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,295.2,0,0.0,0.0,"Schirra, Walter M., Jr.",102,1920,1950,36,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,2.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
12,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,USA,military,1961 NASA group 1,1959,3,3,commander,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,295.2,0,0.0,0.0,"Schirra, Walter M., Jr.",102,1920,1950,36,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,3.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
13,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,1927,USA,military,NASA- 1,1959,1,2,pilot,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,225.0,0,0.0,0.0,"Cooper, L. Gordon, Jr.",98,1920,1950,32,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,128.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
14,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,1927,USA,military,NASA- 1,1959,2,2,commander,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.92,225.0,0,0.0,0.0,"Cooper, L. Gordon, Jr.",98,1920,1950,32,1,0,1,1,Couple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,128.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
15,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,Russia,military,TsPK-1,1960,1,3,pilot,1963,Vostok 5,Vostok 5,Vostok 5,Vostok 5,119.13,497.8,0,0.0,0.0,"Bykovsky, Valery",91,1930,1960,26,1,0,1,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
16,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,Russia,military,TsPK-2,1960,2,3,commander,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22,189.0,497.8,0,0.0,0.0,"Bykovsky, Valery",91,1930,1960,26,1,0,1,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
17,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,Russia,military,TsPK-3,1960,3,3,commander,1978,Soyuz 31/29,Soyuz 31,Salyut 6,Soyuz 29,188.0,497.8,0,0.0,0.0,"Bykovsky, Valery",91,1930,1960,26,1,0,1,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,213.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
18,10,6,"Tereshkova, Valentina",ТЕРЕШКОВА Валентина Владимировна,female,1937,Russia,military,VVS Women,1962,1,1,pilot,1963,Vostok 6,Vostok 6,Vostok 6,Vostok 6,70.83,70.83,0,0.0,0.0,"Tereshkova, Valentina",88,1930,1960,25,0,1,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,224.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
19,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,1927,Russia,military,TsPK-1,1960,1,2,commander,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,51.07,0,0.0,0.0,"Komarov, Vladimir",98,1920,1960,33,1,0,1,1,Couple,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
20,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,1927,Russia,military,TsPK-2,1960,2,2,commander,1967,Soyuz 1,Soyuz 1,Soyuz 1,Soyuz 1,26.78,51.07,0,0.0,0.0,"Komarov, Vladimir",98,1920,1960,33,1,0,1,1,Couple,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
21,12,8,"Feoktistov, Konstantin",ФЕОКТИСТОВ Константин Петрович,male,1926,Russia,civilian,Voskhod-1 / TsKBEM-1,1964,1,1,msp,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0,0.0,0.0,"Feoktistov, Konstantin",99,1920,1960,38,1,0,0,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,0.0,2.0,226.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
