id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
1,1,1,"Gagarin, Yuri",ГАГАРИН Юрий Алексеевич,male,-1.5470380713298608,Russia,military,TsPK-1,-2.094979017591157,1,-1.4160675181414626,pilot,1961,Vostok 1,Vostok 1,Vostok 2,Vostok 3,1.77,-0.7041362365383889,0,0.0,-0.6709541718905475,"Gagarin, Yuri",1.547038071329856,1930,1960,-1.7251133771526994,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2,2,2,"Titov, Gherman",ТИТОВ Герман Степанович,male,-1.4595538973378217,Russia,military,TsPK-1,-2.094979017591157,1,-1.4160675181414626,pilot,1961,Vostok 2,Vostok 2,Vostok 2,Vostok 2,25.0,-0.6985512283392297,0,0.0,-0.6709541718905475,"Titov, Gherman",1.4595538973378168,1930,1960,-1.9433372288242199,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
3,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,-2.6843323332263687,USA,military,NASA Astronaut Group 1,-2.176849697441324,1,-0.7018818069776996,pilot,1962,MA-6,MA-6,MA-6,MA-6,5.0,-0.6528125509071017,0,0.0,-0.6709541718905475,"Glenn, John H., Jr.",2.6843323332263638,1920,1950,0.8935728429055445,1,0,1,1,Couple,0,No_EVA,Medium,USA,1,0,0,0,0,38.0,1.0,5.0,109.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
4,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,-2.6843323332263687,USA,military,NASA Astronaut Group 2,-2.176849697441324,2,-0.7018818069776996,psp,1998,STS-95,STS-95,STS-95,STS-95,213.0,-0.6528125509071017,0,0.0,-0.6709541718905475,"Glenn, John H., Jr.",2.6843323332263638,1920,1950,0.8935728429055445,1,0,1,1,Couple,0,No_EVA,Medium,USA,1,0,0,0,0,38.0,1.0,6.0,120.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
5,4,2,"Carpenter, M. Scott","Carpenter, M. Scott",male,-2.334395637258212,USA,military,NASA- 1,-2.176849697441324,1,-1.4160675181414626,pilot,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5.0,-0.7033695737044202,0,0.0,-0.6709541718905475,"Carpenter, M. Scott",2.3343956372582073,1920,1950,0.02067743621946318,1,0,1,0,Single,0,No_EVA,Short,USA,0,0,0,0,0,38.0,1.0,5.0,128.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
6,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,-1.9844589412900562,Russia,military,TsPK-1,-2.094979017591157,1,-0.7018818069776996,pilot,1962,Vostok 3,Vostok 3,Vostok 3,Vostok 3,94.0,-0.5812897918483412,0,0.0,-0.6709541718905475,"Nikolayev, Andriyan",1.984458941290051,1920,1960,-0.6339941187950978,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
7,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,-1.9844589412900562,Russia,military,TsPK-2,-2.094979017591157,2,-0.7018818069776996,pilot,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9,424.0,-0.5812897918483412,0,0.0,-0.6709541718905475,"Nikolayev, Andriyan",1.984458941290051,1920,1960,-0.6339941187950978,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,5.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
8,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,-1.896974767298017,Russia,military,TsPK-1,-2.094979017591157,1,-0.7018818069776996,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,-0.5981136499510357,0,0.0,-0.6709541718905475,"Popovich, Pavel",1.8969747672980122,1930,1960,-0.8522179704666182,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,5.0,205.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
9,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,-1.896974767298017,Russia,military,TsPK-2,-2.094979017591157,2,-0.7018818069776996,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377.0,-0.5981136499510357,0,0.0,-0.6709541718905475,"Popovich, Pavel",1.8969747672980122,1930,1960,-0.8522179704666182,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
10,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,-2.5093639852422904,USA,military,1959 NASA group 1,-2.176849697441324,1,0.01230390418606333,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,-0.6344885971045054,0,0.0,-0.6709541718905475,"Schirra, Walter M., Jr.",2.5093639852422855,1920,1950,0.45712513956250383,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,1.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
11,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,-2.5093639852422904,USA,military,1960 NASA group 1,-2.176849697441324,2,0.01230390418606333,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,-0.6344885971045054,0,0.0,-0.6709541718905475,"Schirra, Walter M., Jr.",2.5093639852422855,1920,1950,0.45712513956250383,1,0,1,1,Multiple,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,1.0,0.0,2.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
